SampleCode,SampleType,AVG_Norm,contIndex
636869,Lung,263.4138987,0.02998
635980,Lung,449.4349612,0.02123
636843,Lung,577.6985221,0.02131
587602,Lymphoid,427.4422185,0.02416
587603,Lymphoid,380.3014513,0.02362
635599,Lymphoid,953.5009402,0.02544
587604,Lymphoid,271.8936952,0.0214
587605,Lymphoid,314.3541039,0.01831
639188,Lymphoid,610.9285629,0.0202
587606,Lymphoid,230.7899018,0.0268
587405,Lymphoid,530.8199303,0.02857
587607,Lymphoid,244.8043562,0.02361
587608,Lymphoid,188.7622739,0.02276
587609,Lymphoid,198.7912677,0.02669
587610,Lymphoid,459.0011292,0.02531
636760,Lymphoid,992.8652196,0.03824
635600,Lymphoid,346.6050327,0.02432
587611,Lymphoid,78.95254093,0.02592
587612,Lymphoid,246.3172698,0.01628
587613,Lymphoid,353.0143632,0.02892
587410,Lymphoid,472.8272485,0.01962
639162,Lymphoid,262.4682406,0.01987
587412,Lymphoid,229.1515683,0.01729
587615,Lymphoid,164.3619467,0.02392
587616,Lymphoid,266.641766,0.01541
587617,Lymphoid,294.8551168,0.02754
587618,Lymphoid,467.351579,0.03392
635601,Lymphoid,336.71422,0.02096
636116,Lymphoid,538.9237145,0.04943
636855,Lymphoid,1926.673143,0.02295
587619,Lymphoid,423.6278934,0.02051
587620,Lymphoid,324.2871045,0.01892
635973,Lymphoid,683.4497015,0.02079
639183,Lymphoid,284.0868377,0.02178
587414,Lymphoid,299.5598738,0.01948
637175,Lymphoid,1152.543273,0.02378
635602,Lymphoid,455.9631101,0.02206
635603,Lymphoid,519.1499331,0.0142
635604,Lymphoid,241.9986386,0.02012
635605,Lymphoid,1058.177014,0.02263
635606,Lymphoid,439.0313506,0.02301
636854,Lymphoid,596.6905804,0.01753
635607,Lymphoid,644.2058145,0.02129
635608,Lymphoid,438.1539565,0.0183
635609,Lymphoid,722.6527973,0.01528
635610,Lymphoid,464.7010663,0.01964
636867,Lymphoid,351.3821096,0.01797
635611,Lymphoid,548.787049,0.01812
635612,Lymphoid,1032.095459,0.01828
587621,Lymphoid,519.6932295,0.01803
587415,Lymphoid,222.2120666,0.02902
587622,Lymphoid,361.8443073,0.02946
636119,Lymphoid,416.6018236,0.03405
635613,Lymphoid,517.4326292,0.02274
